domaine,ecran,type_de_garde,permission,role,permission_attendue,autorise_par_le_modele,acces_reel,verdict
Argent,/comptabilite,requirePageAccess,canViewComptabilite,admin_cabinet,canViewComptabilite,oui,oui,conforme
Argent,/comptabilite,requirePageAccess,canViewComptabilite,avocat,canViewComptabilite,oui,oui,conforme
Argent,/comptabilite,requirePageAccess,canViewComptabilite,assistante,canViewComptabilite,oui,oui,conforme
Argent,/comptabilite,requirePageAccess,canViewComptabilite,comptabilite,canViewComptabilite,oui,oui,conforme
Fidéicommis,/comptes,blocage explicite,canViewBillingTrust,admin_cabinet,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes,blocage explicite,canViewBillingTrust,avocat,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes,blocage explicite,canViewBillingTrust,assistante,canViewBillingTrust,non,non,conforme
Fidéicommis,/comptes,blocage explicite,canViewBillingTrust,comptabilite,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes/rapports,blocage explicite,canViewBillingTrust,admin_cabinet,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes/rapports,blocage explicite,canViewBillingTrust,avocat,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes/rapports,blocage explicite,canViewBillingTrust,assistante,canViewBillingTrust,non,non,conforme
Fidéicommis,/comptes/rapports,blocage explicite,canViewBillingTrust,comptabilite,canViewBillingTrust,oui,oui,conforme
Fidéicommis,/comptes/rapprochement,blocage explicite,canEditBillingTrust,admin_cabinet,canEditBillingTrust,oui,oui,conforme
Fidéicommis,/comptes/rapprochement,blocage explicite,canEditBillingTrust,avocat,canEditBillingTrust,non,non,conforme
Fidéicommis,/comptes/rapprochement,blocage explicite,canEditBillingTrust,assistante,canEditBillingTrust,non,non,conforme
Fidéicommis,/comptes/rapprochement,blocage explicite,canEditBillingTrust,comptabilite,canEditBillingTrust,oui,oui,conforme
Fidéicommis,/conformite,AUCUNE,—,admin_cabinet,canViewBillingTrust,oui,OUI,conforme
Fidéicommis,/conformite,AUCUNE,—,avocat,canViewBillingTrust,oui,OUI,conforme
Fidéicommis,/conformite,AUCUNE,—,assistante,canViewBillingTrust,non,OUI,"TROU : rôle exclu par le modèle, mais la page se charge"
