Rang,Score /7,Cabinet,Ville,Telephone,Avocat(s) au Tableau de l'Ordre,Domaines de droit,Structure /2,Fideicommis /2,Age /3,Signal age,Annee domaine,Autres indices,Site,Adresse,Fiabilite numero,ETAT,Date appel,Qui a repondu,Nb avocats confirme,Adjointe ?,Cabinet depuis quand ?,Leurs mots exacts,Prochaine action,Date relance
1,5,Nicolas Farand Avocat,Montréal,514-244-1124,"Farand, Nicolas","Immobilier, Louage",2,1,2,"assermente en 2017, domaine web 2020",2020,verifie a la main le 2026-08-08,nicolasfarandavocat.com,"1200 av McGill College, bureau 1100, Montréal H3B 4G7",verifie a la main,A_APPELER,,,,,,,,
2,5,SPS AVOCATS INC,Vaudreuil-Dorion,450-424-3764,"Fournier, Simon | Séguin, Pierre","Immobilier, Successions",1,2,2,domaine web cree en 2017,2017,site (c) 2026,spsavocats.ca,"11 Boul De La Cité-Des-Jeunes, Vaudreuil-Dorion J7V 0N3",haute,A_APPELER,,,,,,,,
3,5,Bessette Boudreau Avocats Inc.,Laval,514-448-4240,"Bessette, Charles-Andrew | Boudreau, Julien | Jaeger, Charlotte",Immobilier,2,1,2,domaine web cree en 2019,2019,site (c) 2021,bessetteboudreauavocats.com,"500-3055 boul Saint-Martin O, Laval H7T 0J3",haute,A_APPELER,,,,,,,,
4,5,"Mélanie Chaperon, avocate INC",Montréal,514-755-6597,"Chaperon, Mélanie",Immobilier,2,1,2,domaine web cree en 2017,2017,site (c) 2022,melaniechaperon.com,"4284, av de Lorimier, Montréal H2H 2B1",haute,A_APPELER,,,,,,,,
5,5,PME Avocats,Vaudreuil-Dorion,514-370-8351,"Pilon, Jean-Marcel",Immobilier,2,1,2,domaine web cree en 2017,2017,site (c) 2026,pmeavocats.com,,haute,A_APPELER,,,,,,,,
6,5,Rancourt Legault Joncas senc,Châteauguay,450-699-2122,"Joncas, Pierre Luc | Lévesque, Bastien",Successions,2,1,2,domaine web cree en 2018,2018,site (c) 2026,rljavocats.com,"1 Boulevard D'Anjou, Châteauguay J6J 2P6",haute,A_APPELER,,,,,,,,
7,5,St-Aubin Avocat inc,Montréal,514-667-2166,"Darracq, Aurélie | Elizée, Ernst Junior | Perron, Grégoire",Immobilier,2,1,2,domaine web cree en 2018,2018,,droitimmobilier.ca,"700-1980 Rue Sherbrooke O, Montréal H3H 1E8",haute,A_APPELER,,,,,,,,
8,5,Bourdon Avocats Inc.,Montréal,514-397-2687,"Bourdon, François",Famille,2,0,3,domaine web cree en 2024,2024,,bourdonavocat.ca,"10, rue Notre-Dame E, Montréal H2Y 1B7",haute,A_APPELER,,,,,,,,
9,5,Delisle Mathieu,Saint-Bruno,450-461-0655,"Mathieu, Carolyne",Famille,2,0,3,domaine web cree en 2021,2021,site (c) 2026,delislemathieuavocats.ca,"1436 Rue Montarville, Saint-Bruno J3V 3T5",haute,A_APPELER,,,,,,,,
10,5,"Me Christian F. Paradis, avocat",Saint-Jérôme,450-431-7752,"Paradis, Christian F.",Famille,2,0,3,domaine web cree en 2021,2021,,christianparadis.com,"104 Rue de Martigny Ouest, Saint-Jérôme J7Y 2G1",haute,A_APPELER,,,,,,,,
11,5,Monaco Avocats inc,Rosemère,450-621-6756,"Monaco, Emilio",Famille,2,0,3,domaine web cree en 2024,2024,,monacoavocats.ca,"632 Rue Des Vignobles, Rosemère J7A 4P9",haute,A_APPELER,,,,,,,,
